cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-5,L2_primal,0.01,0.5219459984258472,0,1,0.008880938026555298,0,0,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.5264091694609009,0,1,0.009175089226940795,0,0,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5401179191597565,0,1,0.009700596213329627,0,0,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5503730020798577,0.014953703703703703,0.9878747455716259,0.009444234256507953,0.006013182501866357,0.006102372277195728,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5567167074442554,0.0858425925925926,0.9421664139310961,0.0089855110192108,0.009712338534451482,0.009675913684120557,L2_Logistic_Regression
1,L2_primal,0.01,0.5573069581616952,0.11264550264550265,0.9229896192207687,0.008931777665769853,0.010389939726737322,0.01049469847762286,L2_Logistic_Regression
10,L2_primal,0.01,0.5572799665239029,0.11718518518518518,0.9195313617250346,0.0089389757488800535,0.010774638828303984,0.010745549020266186,L2_Logistic_Regression
100,L2_primal,0.01,0.5572710336059324,0.1176415343915344,0.919110147172341,0.008943249536742559,0.010865375825123737,0.010833730872837398,L2_Logistic_Regression
1000,L2_primal,0.01,0.5572705996641384,0.11770767195767196,0.9190527144104981,0.008945367744705772,0.010845414070646708,0.010808074241283496,L2_Logistic_Regression
