cost,Loss,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-4,L2,0.502123134298126,0.9828020631850419,0.02135754640116841,0.012103927768697892,0.09795489923943235,0.1216222855970082,L1_Linear_SVM
0.001,L2,0.5025937432176112,0.7290542875564152,0.3691594010214327,0.01479108961019111,0.0074915485629365635,0.008244155201311183,L1_Linear_SVM
0.01,L2,0.5028449749318247,0.6863860735009671,0.43246171171924513,0.016211483557257024,0.0111665454161801,0.01319798587078934,L1_Linear_SVM
0.1,L2,0.5028479558104478,0.688715667311412,0.4316552693680965,0.016228663937181222,0.009577973468809666,0.01122236678129582,L1_Linear_SVM
1,L2,0.5028486994540239,0.6885537072856222,0.4318707455470953,0.01623295723705344,0.009450615271847184,0.010958056455654447,L1_Linear_SVM
10,L2,0.5028488618341277,0.688956802063185,0.4314262877943771,0.016234042420448742,0.009513045009366838,0.011067886220754077,L1_Linear_SVM
100,L2,0.5028501124000199,0.6890460348162476,0.43126569237313594,0.01624108008851279,0.00943307508449133,0.01088678654115853,L1_Linear_SVM
1000,L2,0.5028486702736557,0.688861637653127,0.4315567589295675,0.01623279910355082,0.00931082112279345,0.010748034406045145,L1_Linear_SVM
