cv_aucs,test_aucs,model
0.6162369442135807,0.6219152839371975,L2_Logistic_Regression
0.6171359711288912,0.6180031148521815,L2_Logistic_Regression
0.6153967931846107,0.6226972244931515,L2_Logistic_Regression
0.6189967813732783,0.6117920143471979,L2_Logistic_Regression
0.6166675848949413,0.6215470128019511,L2_Logistic_Regression
0.616376182875234,0.6225516515871892,L2_Logistic_Regression
0.6194473595644986,0.6114725516972596,L2_Logistic_Regression
0.6131125041277905,0.6333549820127182,L2_Logistic_Regression
0.6158512394800194,0.6233088377460406,L2_Logistic_Regression
0.6173105838411919,0.6187785699387839,L2_Logistic_Regression
0.617308267045414,0.6195337465155826,L2_Logistic_Regression
0.6177583733788925,0.616509538663902,L2_Logistic_Regression
0.616626105307773,0.6212580288131438,L2_Logistic_Regression
0.6178200463604188,0.6140788273784241,L2_Logistic_Regression
0.615190821967096,0.6270046722782723,L2_Logistic_Regression
0.6180452112143315,0.6147253647315305,L2_Logistic_Regression
0.6172019741880157,0.620430263696748,L2_Logistic_Regression
0.6185510778130663,0.6144310523054626,L2_Logistic_Regression
0.6179459509760165,0.6134998546097833,L2_Logistic_Regression
0.6178135694830242,0.6173901923261369,L2_Logistic_Regression
0.6159418346037081,0.6251131074989381,L2_Logistic_Regression
0.6163344009018349,0.6230990495590337,L2_Logistic_Regression
0.6191101402174968,0.6118738286953093,L2_Logistic_Regression
0.6167951937292299,0.6210267137396038,L2_Logistic_Regression
0.6154760389783888,0.6267738748243519,L2_Logistic_Regression
