cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
10,L2_primal,0.01,0.5955270549528815,0.6909800128949065,0.4259474472446364,0.004335136395797054,0.009244656135814263,0.009735549097508657,L2_Logistic_Regression
100,L2_primal,0.01,0.5955270780819497,0.6909797549967763,0.4259474472446364,0.0043346464118481426,0.009244948272358229,0.009735549097508657,L2_Logistic_Regression
1000,L2_primal,0.01,0.5955270409935304,0.6909797549967763,0.4259474472446364,0.004334671255906432,0.009244948272358229,0.009735549097508657,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5948084680828964,0.699052998065764,0.4122292021358123,0.004305395443071702,0.012912102680969595,0.01311024529552932,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5950717505691695,0.6949622179239201,0.4197873394308947,0.00426911349636963,0.009526109371761574,0.011180989258758352,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5950415227700366,0.6934205029013539,0.421938749847761,0.004271518686606835,0.007572209366111584,0.00895099548454539,L2_Logistic_Regression
1,L2_primal,0.01,0.5950401342762626,0.6934478401031593,0.42192338487455605,0.0042647502949677025,0.007295130625825416,0.008620770033409957,L2_Logistic_Regression
10,L2_primal,0.01,0.5950404118704583,0.6934457769181174,0.4219211887962327,0.004264783654432757,0.007294671277946611,0.008625565046529334,L2_Logistic_Regression
100,L2_primal,0.01,0.5950403778486034,0.6934457769181174,0.4219211887962327,0.004264852606558805,0.007294671277946611,0.008625565046529334,L2_Logistic_Regression
1000,L2_primal,0.01,0.5950403208540186,0.6934457769181174,0.4219211887962327,0.004265067842650156,0.007294671277946611,0.008625565046529334,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5942885270897402,0.7006736299161831,0.4090539167577805,0.004355984618896933,0.011894092733329283,0.011252543434755798,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5947286866313793,0.6920219213410703,0.4234738205978236,0.0043334330188890225,0.00936699228437883,0.010210407877928002,L2_Logistic_Regression
